fold,subject,loss,mae,mape,CLASSIFICADOR,FILTERS,KERNEL_SIZES,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,DROPOUT_RATE,USE_POOLING,combination_id,execution_time
4,3,310.59593980360194,12.271514618487451,0.11748490299737209,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
5,4,146.92063918597137,9.700521470002114,0.09868913029058171,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
6,5,512.5020434321128,18.319412455403764,0.21705961208638214,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
7,6,110.30526074242673,8.178228713892683,0.09038310499823068,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
8,7,199.06426961660702,11.562314659110772,0.15469260162614262,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,True,11,106.63447308540344
1,0,428.3253247094235,16.614693433376743,0.14931341179423607,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
2,1,738.3147968715522,24.19420291380449,0.30152950177770077,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
3,2,134.94289288168812,8.975221293977913,0.09987103209132579,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
4,3,239.92386200780052,10.644927460161792,0.10559012740049126,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
5,4,136.3824721199574,9.502210569226682,0.09571908654226118,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
6,5,357.3577624780011,14.902318502849077,0.17518963189024156,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
7,6,102.79609149894301,8.010151434548295,0.09163601528119161,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
8,7,206.34892457924667,11.801970352811262,0.16029481596196424,CNN1D,"(64, 32)","(5,)","(64,)",32,0.001,50,relu,adam,0.5,False,12,131.66348910331726
1,0,708.5798873554436,23.56868454410866,0.21657039494612257,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
2,1,705.6564069639034,23.550280290950425,0.31436735175431574,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
3,2,98.47223771502323,7.8632268332553386,0.08799709585423429,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
4,3,138.85092694309216,8.938678804334703,0.0951917141238877,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
5,4,259.36557221217595,13.052420944376873,0.13167769293012394,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
6,5,370.99920456556316,15.342427309712757,0.18023545943218036,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
7,6,108.067676754752,8.114505760579169,0.09089044271513612,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
8,7,349.7282454120058,15.921010955306123,0.21820292228495253,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,True,13,91.98438477516174
1,0,671.9983181163009,22.333617669251435,0.20141176986395945,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
2,1,668.116216228577,22.801052065762605,0.2951065139512986,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
3,2,102.47048760934481,8.140947174401424,0.1009593794563286,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
4,3,127.4184549039484,8.690071741202477,0.09188488142781898,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
5,4,165.81341318930563,9.715968418608584,0.09878033429550073,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
6,5,365.7883077161342,15.704989979765706,0.1912028035973893,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
7,6,112.91096010024707,8.181467015230202,0.09057603501997272,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
8,7,873.2356688072764,26.01257118114755,0.3489828903557882,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.0,False,14,96.94859266281128
1,0,410.735511054433,15.767306427204952,0.14074713659185428,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
2,1,215.164289465619,12.354316009174694,0.15664376400768865,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
3,2,163.91089000824684,9.620184762697068,0.11124517101854176,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
4,3,311.71262467929125,12.357317418237912,0.13013038563345752,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
5,4,155.50953574598523,9.95258895175932,0.10223232204831256,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
6,5,438.1603302661599,16.79568959902005,0.201264860046591,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
7,6,131.42922082646004,9.162508427342281,0.10773779283757472,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
8,7,238.65283721043812,12.62245505309302,0.17521654321973335,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,True,15,106.87594699859619
1,0,310.7548357912176,13.157159877193475,0.12464520844763552,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
2,1,319.7089490108074,15.033225550218061,0.19607931801647585,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
3,2,172.23394147512084,9.793929949869666,0.1114357161555179,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
4,3,285.8481877328916,11.913376326089377,0.1277015577247285,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
5,4,103.62337602979545,8.065682089168195,0.08119777469426054,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
6,5,460.3545159217012,17.46525577617351,0.20966443716142258,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
7,6,171.46046443674254,10.3054989766471,0.11396691965413658,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
8,7,242.9386827451847,12.75176317829731,0.17852943957515766,CNN1D,"(64, 32)","(5,)","(64,)",32,0.01,50,relu,adam,0.5,False,16,158.8789517879486
1,0,655.2926386780372,22.16216326922905,0.20303870850825026,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
2,1,263.35916250114235,13.642307542454112,0.1752770191305127,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
3,2,207.29059533923743,11.801018232434728,0.12015355451441152,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
4,3,366.7094930940731,15.504864714454012,0.15954377896723682,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
5,4,204.698172702762,11.47478397403049,0.115177145223649,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
6,5,210.38609353023435,12.1442432375801,0.14831918908852157,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
7,6,105.75567605680959,7.869354455682295,0.08800698172856755,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
8,7,241.2872733200673,12.905542374642426,0.1765206899465906,CNN1D,"(64, 32)","(5, 3)","(64,)",16,0.001,50,relu,adam,0.0,True,17,130.1587119102478
