n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,min_child_weight,mean_loss,mean_mae,mean_mape,execution_time
100,0.01,4,1.0,1.0,0.3,3,246.6091805561764,12.332994633149752,0.1444075942005244,20.167426586151123
100,0.01,4,1.0,1.0,0.3,5,246.5657953610003,12.33374350510056,0.1444182401723696,19.86549949645996
100,0.01,6,0.7,0.7,0.0,1,281.0955752490306,13.157318721119529,0.15235613043634516,44.74252986907959
100,0.01,6,0.7,0.7,0.0,3,280.93810769215554,13.160490517258815,0.15252021600635976,44.12817358970642
100,0.01,6,0.7,0.7,0.0,5,281.6698910374298,13.175864505630656,0.15281906310719565,43.59420418739319
100,0.01,6,0.7,0.7,0.1,1,281.42453511656754,13.185494240853235,0.1528471524120565,40.3635950088501
100,0.01,6,0.7,0.7,0.1,3,281.9512035361026,13.203745070180435,0.15322829535188526,39.94309735298157
100,0.01,6,0.7,0.7,0.1,5,282.82796785743653,13.214729424079723,0.15346272828182106,39.28694558143616
100,0.01,6,0.7,0.7,0.3,1,279.19901201511277,13.138227838044525,0.15230783915562723,34.417832374572754
100,0.01,6,0.7,0.7,0.3,3,279.1332914455322,13.136674603977491,0.15229411828207345,34.16930675506592
100,0.01,6,0.7,0.7,0.3,5,279.32194086734944,13.141916167074944,0.15234019747159988,34.13835883140564
100,0.01,6,0.7,0.8,0.0,1,278.3233846077205,13.102089475958078,0.1518276797250107,46.38236737251282
100,0.01,6,0.7,0.8,0.0,3,279.24360551724567,13.129038144987685,0.1522620813244973,44.85220193862915
100,0.01,6,0.7,0.8,0.0,5,279.86804563510447,13.126719353732476,0.15230487968873307,44.26240539550781
100,0.01,6,0.7,0.8,0.1,1,277.63447073581636,13.108295008051048,0.15207843107207747,41.16854119300842
100,0.01,6,0.7,0.8,0.1,3,278.4241939893527,13.120668166777701,0.15220308966464988,40.67733120918274
100,0.01,6,0.7,0.8,0.1,5,279.7408942459381,13.147067367187411,0.15269079275687802,40.533278465270996
100,0.01,6,0.7,0.8,0.3,1,274.948390890092,13.046889522463893,0.15133938377280853,35.5855758190155
100,0.01,6,0.7,0.8,0.3,3,275.1901610762999,13.05161172078956,0.15138114783091544,34.97829079627991
100,0.01,6,0.7,0.8,0.3,5,275.03831246088237,13.04902376665767,0.15135699465769276,34.78350043296814
100,0.01,6,0.7,1.0,0.0,1,271.93647565882486,12.908293043369117,0.1503827432100718,51.11957097053528
100,0.01,6,0.7,1.0,0.0,3,271.49271245070827,12.904177878306935,0.15049690483424644,49.79682111740112
100,0.01,6,0.7,1.0,0.0,5,271.83872335059834,12.92025843664706,0.15080509292025343,49.0814573764801
100,0.01,6,0.7,1.0,0.1,1,271.66520620848803,12.93588360628308,0.15081646089431505,46.0574631690979
100,0.01,6,0.7,1.0,0.1,3,272.619559290345,12.952934069847545,0.15122989680502488,45.14364218711853
100,0.01,6,0.7,1.0,0.1,5,273.627499847329,12.972189662368066,0.15155986576081876,44.019587993621826
100,0.01,6,0.7,1.0,0.3,1,266.7391602929239,12.820302186347359,0.14974213466528946,38.96626019477844
100,0.01,6,0.7,1.0,0.3,3,266.5947916481031,12.817859310138447,0.14971849965165399,38.67842149734497
100,0.01,6,0.7,1.0,0.3,5,266.13086660264236,12.809277761521106,0.1496240393248559,38.34516143798828
100,0.01,6,0.8,0.7,0.0,1,280.8523235941492,13.185509994618293,0.15290862290399768,45.086385011672974
100,0.01,6,0.8,0.7,0.0,3,281.2590135420128,13.193890899381751,0.1530757429186394,43.95511507987976
100,0.01,6,0.8,0.7,0.0,5,281.0908106707249,13.178091403084073,0.1529070607454904,43.71607041358948
100,0.01,6,0.8,0.7,0.1,1,281.0248127908527,13.187862656686839,0.15298655435343977,40.778156757354736
100,0.01,6,0.8,0.7,0.1,3,281.7139619226112,13.210495073553165,0.15331657261764375,40.167349338531494
100,0.01,6,0.8,0.7,0.1,5,281.206797405232,13.185319940298545,0.15311584132934497,39.79068088531494
100,0.01,6,0.8,0.7,0.3,1,278.5271630841074,13.154001431221149,0.15252856131711262,35.29080080986023
