fold,subject,loss,mae,mape,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,combination_id,execution_time
4,3,318.50314406797776,14.342939182549134,0.15550800369516599,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
5,4,233.11832572493768,12.667952348396383,0.13078868124064297,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
6,5,291.48442841737796,13.02469299534812,0.15092050238935972,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
7,6,201.47475201355212,10.859963141815573,0.1189947749982595,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
8,7,257.552984631158,12.788217527807252,0.1712863446760554,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,18,599.1626858711243
1,0,552.5026580977031,18.93521399191372,0.1659029654925434,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
2,1,1356.7034598211933,32.33191387089816,0.39253086390164477,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
3,2,187.60994362967412,11.1390077868179,0.11645646688367206,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
4,3,273.8452930662511,13.2905608263443,0.14692198185841737,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
5,4,173.67556219053395,10.598144929020338,0.10788247544559998,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
6,5,295.573877905057,13.680732099596938,0.1613874001947903,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
7,6,200.02128650131309,11.001949935623362,0.11861100378395155,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
8,7,232.8099765476842,12.383746978665187,0.16927637352328306,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,19,1412.573219537735
1,0,607.6157313782503,19.519923737731055,0.16804709519581904,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
2,1,813.1356844908482,24.52129794294184,0.30957060869752545,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
3,2,152.4294344175754,9.647188323794357,0.10715886413734517,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
4,3,226.78626864846223,11.374458898252485,0.12385468754950267,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
5,4,222.36771908734787,12.22922752936718,0.12429783105455208,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,20,697.5541207790375
